age,d18O
-61.0,-52.06
-33.0,-52.41
6.0,-53.76
50.0,-55.42
66.0,-56.5
88.0,-55.09
140.0,-57.07
178.0,-56.15
225.0,-55.59
261.0,-57.14
326.0,-56.62
357.0,-54.05
392.0,-55.15
449.0,-56.1
489.0,-53.69
516.0,-55.05
558.0,-54.91
589.0,-53.04
623.0,-54.98
669.0,-55.35
699.0,-56.67
726.0,-53.95
793.0,-56.2
832.0,-57.89
870.0,-53.53
928.0,-56.11
962.0,-55.24
994.0,-55.44
1048.0,-54.47
1092.0,-53.59
1127.0,-53.48
1175.0,-55.88
1218.0,-54.03
1257.0,-54.58
1310.0,-54.36
1341.0,-54.78
1384.0,-55.48
1445.0,-54.39
1483.0,-56.83
1533.0,-55.1
1592.0,-54.23
1635.0,-54.51
1674.0,-54.25
1735.0,-53.65
1779.0,-55.67
1827.0,-55.99
1891.0,-54.93
1932.0,-56.16
1973.0,-55.52
2038.0,-55.48
2074.0,-55.61
2126.0,-55.02
2192.0,-56.77
2235.0,-55.05
2285.0,-55.35
2347.0,-56.0
2397.0,-57.39
2460.0,-54.26
2530.0,-53.84
2569.0,-55.8
2619.0,-56.74
2677.0,-56.44
2710.0,-54.75
2835.0,-54.41
2853.0,-52.66
2887.0,-54.72
3067.0,-54.6
3099.0,-56.85
3196.0,-54.7
3267.0,-55.31
3339.0,-54.74
3447.0,-56.56
3553.0,-55.06
3688.0,-55.08
3790.0,-55.8
3823.0,-54.87
3893.0,-53.98
3962.0,-54.68
4065.0,-55.42
4167.0,-56.77
4237.0,-55.43
4306.0,-55.04
4341.0,-56.32
4480.0,-55.38
4583.0,-55.84
4652.0,-55.69
4687.0,-54.64
4824.0,-54.85
4858.0,-54.62
4925.0,-55.88
4994.0,-55.37
5094.0,-55.3
5200.0,-55.08
5270.0,-55.95
5444.0,-54.41
5561.0,-55.8
5668.0,-54.58
5737.0,-55.38
5842.0,-55.77
5911.0,-54.73
5982.0,-55.02
6089.0,-55.21
6197.0,-54.6
6270.0,-54.45
6345.0,-53.89
6419.0,-54.98
6530.0,-55.31
6642.0,-54.13
6753.0,-54.75
6826.0,-55.16
6899.0,-55.35
7008.0,-54.81
7118.0,-53.69
7191.0,-55.36
7309.0,-54.95
7384.0,-54.7
7459.0,-55.95
7534.0,-54.34
7645.0,-54.79
7716.0,-54.02
7824.0,-54.5
7901.0,-54.29
7976.0,-55.82
8090.0,-56.01
8204.0,-54.45
8283.0,-53.97
8359.0,-55.7
8395.0,-54.06
8470.0,-54.88
8544.0,-55.1
8657.0,-55.13
8735.0,-54.6
8852.0,-54.21
8964.0,-55.08
9075.0,-54.02
9185.0,-54.39
9222.0,-54.56
9354.0,-54.4
9428.0,-53.34
9537.0,-53.91
9612.0,-54.08
9686.0,-53.42
9704.0,-54.28
9798.0,-54.45
9883.0,-53.95
9969.0,-53.8
10068.0,-53.87
10156.0,-54.78
10243.0,-52.99
10332.0,-52.81
10423.0,-53.71
10503.0,-54.4
10558.0,-53.72
10612.0,-53.49
10702.0,-53.81
10792.0,-54.31
10882.0,-53.91
10971.0,-53.71
11163.0,-53.28
11261.0,-53.68
11352.0,-53.92
11522.0,-52.84
11540.0,-54.93
11635.0,-52.81
11731.0,-54.28
11922.0,-54.12
12017.0,-54.85
12113.0,-55.53
12308.0,-55.43
12417.0,-54.88
12461.0,-55.2
12526.0,-54.13
12743.0,-55.96
12856.0,-56.6
12982.0,-56.42
13242.0,-55.26
13358.0,-56.63
13477.0,-56.28
13646.0,-55.92
13741.0,-56.13
13825.0,-56.59
13976.0,-56.41
14357.0,-55.01
14595.0,-56.44
14712.0,-54.21
14830.0,-56.08
15079.0,-55.68
15203.0,-56.55
15328.0,-56.64
15455.0,-56.66
15706.0,-56.52
15826.0,-55.49
16157.0,-56.33
16242.0,-56.56
16380.0,-57.23
16522.0,-58.04
16834.0,-57.49
16997.0,-57.62
17160.0,-59.21
17389.0,-59.41
17487.0,-58.54
17650.0,-57.51
17682.0,-57.73
17813.0,-59.49
18107.0,-59.49
18139.0,-58.84
18303.0,-59.13
18466.0,-59.87
18808.0,-59.25
18987.0,-59.55
19377.0,-58.67
19558.0,-59.86
19593.0,-59.92
19875.0,-59.56
20053.0,-59.77
20194.0,-58.58
20433.0,-59.54
20599.0,-59.79
20763.0,-60.09
20975.0,-60.29
21077.0,-59.97
21111.0,-59.11
21282.0,-59.78
21416.0,-60.28
21548.0,-60.01
22000.0,-59.71
22255.0,-60.15
22403.0,-60.31
22657.0,-60.25
22760.0,-60.38
22928.0,-59.13
23104.0,-59.38
23383.0,-59.21
23468.0,-59.2
23643.0,-59.18
23845.0,-59.21
24219.0,-59.97
24344.0,-60.21
24430.0,-59.77
24650.0,-59.5
25069.0,-59.72
25294.0,-59.57
25518.0,-59.89
25946.0,-60.53
26172.0,-60.06
26543.0,-58.79
26770.0,-59.5
26923.0,-60.02
27016.0,-60.48
27481.0,-59.87
27701.0,-58.69
27900.0,-59.92
28298.0,-59.36
28490.0,-58.92
28685.0,-59.69
28877.0,-59.08
29033.0,-59.32
29236.0,-59.4
29434.0,-58.72
29816.0,-59.98
30013.0,-59.73
30151.0,-58.8
30529.0,-59.99
30722.0,-59.16
30914.0,-59.93
31284.0,-58.78
31478.0,-60.46
31677.0,-60.38
32084.0,-59.44
32287.0,-58.84
32490.0,-59.52
32805.0,-58.9
33037.0,-58.72
33236.0,-59.14
33473.0,-59.15
33840.0,-58.44
34047.0,-59.41
34252.0,-59.04
34654.0,-59.52
35089.0,-59.44
35489.0,-58.04
35681.0,-57.86
35862.0,-58.72
36060.0,-58.37
36451.0,-57.95
36647.0,-59.26
36837.0,-59.01
37197.0,-58.12
37389.0,-57.58
37568.0,-58.15
38086.0,-57.07
38247.0,-57.66
38547.0,-59.27
38666.0,-58.45
38808.0,-58.38
39111.0,-57.62
39260.0,-58.1
39408.0,-58.84
39777.0,-58.41
39979.0,-59.16
40121.0,-58.85
40480.0,-58.55
40667.0,-58.82
40865.0,-58.42
41259.0,-58.61
41454.0,-59.11
41653.0,-58.87
42254.0,-58.27
42454.0,-58.38
42846.0,-58.84
43045.0,-58.06
43244.0,-58.44
43672.0,-58.91
43923.0,-58.04
44089.0,-58.65
44491.0,-59.05
44706.0,-58.98
44915.0,-58.54
45333.0,-58.01
45517.0,-57.45
45703.0,-58.23
45888.0,-57.94
46075.0,-58.25
46257.0,-57.25
46453.0,-55.88
46792.0,-58.61
46973.0,-58.7
47157.0,-57.44
47532.0,-57.93
47728.0,-58.85
47936.0,-57.48
48431.0,-59.04
48676.0,-58.62
48926.0,-57.79
49431.0,-58.43
49663.0,-57.7
49897.0,-58.52
50364.0,-58.42
50586.0,-58.43
50806.0,-58.31
51255.0,-58.25
51482.0,-58.14
51718.0,-57.92
52176.0,-57.03
52410.0,-58.7
52614.0,-58.23
53035.0,-57.54
53238.0,-57.34
53436.0,-57.39
53832.0,-57.55
54025.0,-56.63
54222.0,-57.72
54623.0,-57.38
54819.0,-57.98
55008.0,-56.95
55424.0,-58.15
55635.0,-58.38
55844.0,-57.39
56280.0,-58.55
56511.0,-57.78
56738.0,-58.61
57181.0,-58.51
57407.0,-57.6
57625.0,-57.31
58039.0,-57.65
58229.0,-57.82
58429.0,-57.32
58849.0,-58.49
59061.0,-57.53
59262.0,-57.84
59635.0,-56.37
59817.0,-58.08
59995.0,-57.9
60369.0,-57.65
60548.0,-56.85
60745.0,-56.83
60921.0,-58.04
61306.0,-58.17
61515.0,-58.05
61877.0,-58.48
62070.0,-58.39
62272.0,-58.54
62471.0,-58.62
62872.0,-58.63
63100.0,-59.64
63552.0,-59.11
63781.0,-59.87
64009.0,-59.45
64466.0,-58.31
64694.0,-59.38
64922.0,-58.92
65399.0,-59.75
65653.0,-59.68
65895.0,-59.12
66410.0,-59.23
66671.0,-59.7
66938.0,-59.57
67431.0,-60.0
67700.0,-59.4
67961.0,-59.96
68219.0,-59.71
68480.0,-60.22
68734.0,-59.09
68984.0,-60.5
69221.0,-59.75
69459.0,-59.64
69699.0,-59.42
69936.0,-59.7
70188.0,-59.76
70436.0,-59.67
70679.0,-59.88
70923.0,-59.69
71166.0,-60.14
71409.0,-58.92
71653.0,-59.35
71896.0,-58.58
72139.0,-58.26
72383.0,-58.78
72625.0,-59.09
72831.0,-59.56
73030.0,-58.66
73262.0,-58.64
73493.0,-59.58
73723.0,-59.51
73961.0,-59.25
74215.0,-57.98
74449.0,-58.12
74699.0,-58.94
74844.0,-58.21
75168.0,-58.81
75396.0,-57.53
75621.0,-57.93
75820.0,-57.56
76029.0,-57.91
76226.0,-58.52
76362.0,-57.51
76650.0,-57.47
76777.0,-58.38
76861.0,-59.56
77125.0,-59.11
77380.0,-57.51
77549.0,-57.23
77836.0,-58.06
78080.0,-58.29
78313.0,-57.77
78525.0,-58.53
78754.0,-59.1
78971.0,-58.33
79187.0,-57.68
79402.0,-57.67
79614.0,-58.53
79807.0,-57.92
79994.0,-57.9
80210.0,-57.07
80410.0,-57.89
80599.0,-57.12
80780.0,-57.11
80956.0,-57.05
81163.0,-56.61
81346.0,-56.69
81533.0,-57.22
81717.0,-57.17
81906.0,-56.89
82107.0,-57.17
82297.0,-56.19
82480.0,-57.25
82651.0,-56.49
82837.0,-57.27
