age,d18O
0.0,0.47
120.0,0.26
150.0,0.44
180.0,0.44
260.0,0.48
470.0,0.59
680.0,0.59
880.0,0.4
1090.0,0.57
1290.0,0.51
1500.0,0.44
1700.0,0.55
1910.0,0.59
2110.0,0.51
2320.0,0.46
2510.0,0.51
2700.0,0.54
2890.0,0.42
3080.0,0.53
3270.0,0.53
3460.0,0.66
3650.0,0.63
3840.0,0.57
4019.9999999999995,0.77
4210.0,0.49
4400.0,0.62
4590.0,0.57
4780.0,0.58
4970.0,0.48
5160.0,0.55
5340.0,0.64
5530.0,0.51
5720.0,0.61
5910.0,0.32
6100.0,0.55
6290.0,0.58
6480.0,0.5
6670.0,0.6
6850.0,0.55
7040.0,0.62
7190.0,0.41
7270.0,0.62
7340.0,0.43
7410.0,0.63
7490.0,0.51
7560.0,0.59
7630.0,0.5
7700.0,0.55
7780.0,0.51
7850.0,0.56
7920.0,0.43
8000.0,0.65
8070.0,0.62
8290.0,0.64
8500.0,0.47
8720.0,0.36
8940.0,0.56
9160.0,0.52
9370.0,0.5
9590.0,0.52
9810.0,0.58
10030.0,0.54
10240.0,0.62
10460.0,0.61
10680.0,0.66
10900.0,0.74
11110.0,0.6
11330.0,0.63
11490.0,0.35
11550.0,0.65
11550.0,0.51
11610.0,0.63
11680.0,1.07
11680.0,1.15
11800.0,1.56
11800.0,1.32
12140.0,1.29
12470.0,1.43
12690.0,1.08
12860.0,1.14
13040.0,1.15
13210.0,1.1
13460.0,1.13
13740.0,1.22
14020.0,1.35
14300.0,1.43
14570.0,1.63
14640.0,2.02
14710.0,2.15
14840.0,2.19
14960.0,2.31
15210.0,2.38
15340.0,2.41
15460.0,2.35
15590.0,2.38
15720.0,2.38
15840.0,2.28
15970.0,2.25
16100.000000000002,2.22
16350.000000000002,2.2
16650.0,2.49
16950.0,2.5
17250.0,2.65
17560.0,2.74
17860.0,2.79
18160.0,2.9
18320.0,2.85
18760.0,2.74
18890.0,2.58
19030.0,2.57
19160.0,2.59
19290.0,2.38
19430.0,2.69
19560.0,2.39
19690.0,2.27
19830.0,2.22
19960.0,2.26
20090.0,2.41
20230.0,2.11
20360.0,2.17
20490.0,2.02
20630.0,1.95
20760.0,2.18
20890.0,2.29
21030.0,2.13
21160.0,1.95
21290.0,1.97
21430.0,1.94
21560.0,2.01
21690.0,2.02
21830.0,1.99
21960.0,2.07
22090.0,2.07
22230.0,2.19
22370.0,2.17
22530.0,2.29
22680.0,2.23
22840.0,2.17
22990.0,2.17
23140.0,2.19
23300.0,1.87
23450.0,1.98
23610.0,2.0
23760.0,1.9
23910.0,1.92
24100.0,2.16
24280.0,2.3
24470.0,2.58
24660.0,2.38
24750.0,2.02
24840.0,2.08
24940.0,2.14
25030.0,2.22
25120.0,2.16
25210.0,2.33
25310.0,2.26
25400.0,2.47
25500.0,2.6
25590.0,2.83
25680.0,2.53
25770.0,2.38
25870.0,2.69
25960.0,2.61
26050.0,2.47
26150.0,2.55
26240.0,2.44
26330.0,2.26
26430.0,2.12
26520.0,2.14
26610.0,2.01
26710.0,2.2
26800.0,2.15
26900.0,2.17
27000.0,2.14
27090.0,2.45
27190.0,2.03
27290.0,1.79
27380.0,2.21
27480.0,1.95
27580.0,2.24
27670.0,2.08
27770.0,1.95
27870.0,2.32
27960.0,2.23
28060.0,2.13
28160.0,2.53
28250.0,2.48
28350.0,2.65
28450.0,2.63
28540.0,2.54
28640.0,2.55
28740.0,2.48
28830.0,2.15
28930.0,1.77
28930.0,1.76
29040.0,2.17
29150.0,2.69
29260.0,2.61
29370.0,2.78
29480.0,2.6
29590.0,2.62
29700.0,2.53
29840.0,2.46
29990.0,2.62
30130.0,2.29
30270.0,2.33
30420.0,2.05
30560.0,2.35
30700.0,2.03
30840.0,2.39
30980.0,2.39
31110.0,2.39
31250.0,2.49
31390.0,2.33
31530.0,2.13
31660.0,2.34
31800.0,2.19
31940.0,2.01
32080.0,1.95
32210.0,1.8
32350.0,1.84
32490.000000000004,1.65
32590.000000000004,1.78
32689.999999999996,1.88
32800.0,2.31
32900.0,2.41
33000.0,2.59
33110.0,2.25
33210.0,2.32
33310.0,2.32
33410.0,2.3
33520.0,1.98
33620.0,1.9
33720.0,1.54
33830.0,1.46
33910.0,1.67
34000.0,2.29
34090.0,2.19
34180.0,2.06
34260.0,2.37
34350.0,2.21
34440.0,2.23
34520.0,2.24
34610.0,2.24
34700.0,2.1
34780.0,1.92
34870.0,1.71
34960.0,1.7
35050.0,1.61
35130.0,1.58
35220.0,1.4
35310.0,1.67
35390.0,1.45
35480.0,1.54
35570.0,1.53
35670.0,2.24
35770.0,2.31
35870.0,2.45
35980.0,2.46
36080.0,2.56
36190.0,2.37
36300.0,2.26
36420.0,2.11
36530.0,2.08
36650.0,2.12
36770.0,2.15
36880.0,1.41
36990.0,1.56
37110.0,1.86
37230.0,1.64
37340.0,1.54
37460.0,1.62
37570.0,1.69
37690.0,1.62
37800.0,1.56
37920.0,1.46
38030.0,1.54
38150.0,1.5
38260.0,1.48
38380.0,1.97
38500.0,2.45
38620.0,2.34
38740.0,2.54
38860.0,2.45
38980.0,2.29
39100.0,2.33
39230.0,2.39
39350.0,2.1
39470.0,2.62
39590.0,2.48
39710.0,2.37
39830.0,2.34
39970.0,1.78
40120.0,1.81
40270.0,1.55
40410.0,1.99
40560.0,1.87
40710.0,1.95
40860.0,1.85
41160.0,2.37
41160.0,2.41
41310.0,1.43
41310.0,1.56
41450.0,1.5
41450.0,1.42
41580.0,1.63
41580.0,1.54
41700.0,2.14
41810.0,2.19
41920.0,2.33
42030.0,2.28
42140.0,2.23
42300.0,2.12
42450.0,2.07
42590.0,2.13
42730.0,1.81
42870.0,1.75
43010.0,1.78
43140.0,1.39
43140.0,1.4
43280.0,1.03
43280.0,1.02
43370.0,1.31
43370.0,1.25
43470.0,1.68
43560.0,1.63
43660.0,2.16
43660.0,1.93
43760.0,1.75
43850.0,2.11
43950.0,2.17
44050.0,2.17
44200.0,2.07
44360.0,1.97
44510.0,1.89
44670.0,1.95
44820.0,1.44
44980.0,1.37
45130.0,1.39
45290.0,1.53
45440.0,1.53
45490.0,1.52
45650.0,1.26
45810.0,1.35
45960.0,1.41
46120.0,1.34
46270.0,1.33
46430.0,1.36
46580.0,1.35
46740.0,1.51
46890.0,1.41
47050.0,1.62
47360.0,2.34
47680.0,2.3
47990.0,2.33
48310.0,2.38
48620.0,2.42
48940.0,2.42
49230.0,2.41
49500.0,2.38
49500.0,2.4
49760.0,2.36
50030.0,2.03
50330.0,2.1
50630.0,2.06
50940.0,1.63
50940.0,1.79
51240.0,2.0
51540.0,1.6
51840.0,1.56
52140.0,1.41
52230.0,1.66
52310.0,1.72
52390.0,1.83
52470.0,1.51
52550.0,1.5
52630.0,1.59
52710.0,1.42
52790.0,1.41
52870.0,1.4
52950.0,1.53
53030.0,1.41
53110.0,1.81
53190.0,1.48
53270.0,1.46
