/* DATA DESCRIPTION:
Citation:	Bazin, Lucie; Landais, Amaëlle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, Patricia; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Ya; Loutre, Marie-France; Raynaud, Dominique; Vinther, Bo Møllesøe; Svensson, Anders M; Rasmussen, Sune Olander; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus Christian; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric William (2013): Methane measured on ice core EDC on AICC2012 chronology [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.824883, 
	In: Bazin, L et al. (2013): The Antarctic ice core chronology (AICC2012) [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.824894
Related to:	Bazin, Lucie; Landais, Amaëlle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, Patricia; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Ya; Loutre, Marie-France; Raynaud, Dominique; Vinther, Bo Møllesøe; Svensson, Anders M; Rasmussen, Sune Olander; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus Christian; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric William (2013): An optimized multi-proxy, multi-site Antarctic ice and gas orbital chronology (AICC2012): 120-800 ka. Climate of the Past, 9(4), 1715-1731, https://doi.org/10.5194/cp-9-1715-2013
	Veres, Daniel; Bazin, Lucie; Landais, Amaëlle; Toyé Mahamadou Kele, H; Lemieux-Dudon, Bénédicte; Parrenin, Frédéric; Martinerie, Patricia; Blayo, Eric; Blunier, Thomas; Capron, Emilie; Chappellaz, Jérôme A; Rasmussen, Sune Olander; Severi, Mirko; Svensson, Anders M; Vinther, Bo Møllesøe; Wolff, Eric William (2013): The Antarctic ice core chronology (AICC2012): an optimized multi-parameter and multi-site dating approach for the last 120 thousand years. Climate of the Past, 9(4), 1733-1748, https://doi.org/10.5194/cp-9-1733-2013
Other version:	Icecores data on AICC2012 in Excel format (URI: hdl:10013/epic.42842.d001)
Further details:	Loulergue, Laetitia; Schilt, Adrian; Spahni, Renato; Masson-Delmotte, Valerie; Blunier, Thomas; Lemieux, Bénédicte; Barnola, Jean-Marc; Raynaud, Dominique; Stocker, Thomas F; Chappellaz, Jérôme A (2008): Orbital and millennial-scale features of atmospheric CH4 over the past 800,000 years. Nature, 453(7193), 383-386, https://doi.org/10.1038/nature06950
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 99.34 m * MAXIMUM DEPTH, ice/snow: 3190.53 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Gas age [ka BP] (Gas age) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr) * COMMENT: on AICC2012
	Methane [ppbv] (CH4) * PI: Loulergue, Laetitia * COMMENT: see "Further details" for the original reference of this data
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	4206 data points
*/
Depth ice/snow [m]	Gas age [ka BP]	CH4 [ppbv]
99.34	0.1944170	907.000
102.45	0.3490040	784.000
102.58	0.3493820	762.000
103.34	0.3515950	710.000
104.33	0.3701780	727.000
104.69	0.3861000	696.000
104.78	0.3900800	683.000
106.61	0.4735950	679.000
107.69	0.5128120	676.000
108.79	0.5360040	651.000
109.83	0.5392370	684.000
110.46	0.5398550	681.000
112.14	0.5954300	670.000
113.03	0.6441970	644.000
114.67	0.7264560	670.000
114.78	0.7313050	668.000
115.22	0.7507010	680.000
118.48	0.8650500	667.000
118.74	0.8698100	669.000
120.85	0.9177260	680.000
121.15	0.9377340	643.000
124.34	1.0900300	664.000
124.58	1.0997600	647.000
125.29	1.1285500	648.000
126.33	1.1532600	640.000
126.75	1.1624100	636.000
129.18	1.2457100	635.000
130.79	1.2751900	633.000
131.83	1.2908300	644.000
134.25	1.3777500	643.000
134.48	1.3824100	629.000
135.19	1.3967800	635.000
137.75	1.4667200	635.000
137.98	1.4756200	650.000
140.73	1.6254200	631.000
141.07	1.6419500	638.000
143.38	1.7061200	632.000
144.04	1.7286200	630.000
145.80	1.7985000	610.000
146.03	1.8073600	623.000
147.29	1.8494600	623.000
148.33	1.8743600	615.000
148.75	1.8897500	623.000
150.09	1.9504300	618.000
150.63	1.9753300	613.000
153.83	2.0501700	613.000
155.04	2.1261300	605.000
156.15	2.1605500	599.000
157.58	2.2216400	604.000
159.33	2.2651800	591.000
159.67	2.2653600	594.000
159.78	2.2654100	609.000
162.05	2.4137900	602.000
163.82	2.4454800	597.000
164.83	2.5014700	595.000
165.18	2.5161700	594.000
165.28	2.5190900	597.000
167.09	2.5777800	593.000
167.80	2.6077600	604.000
168.09	2.6200000	592.000
169.41	2.6625800	579.000
170.33	2.6896500	603.000
170.47	2.6935800	590.000
173.05	2.7972900	592.000
173.69	2.8132500	586.000
176.21	2.9084300	590.000
176.28	2.9148000	580.000
176.38	2.9176200	588.000
176.69	2.9193400	583.000
178.26	2.9258300	580.000
178.48	2.9342200	578.000
180.29	2.9973100	577.000
180.78	3.0223600	577.000
183.97	3.1872800	581.000
185.28	3.2405500	573.000
187.28	3.2809800	576.000
188.04	3.2894700	589.000
189.48	3.4102400	568.000
192.33	3.5200900	581.000
193.55	3.5526000	589.000
195.73	3.6311600	573.000
197.83	3.6828000	570.000
198.20	3.6895100	560.000
200.13	3.7365300	575.000
200.80	3.7775000	596.000
201.03	3.7915700	578.000
203.33	3.8324000	578.000
203.47	3.8373700	581.000
205.63	3.9363600	576.000
208.83	4.0715600	574.000
209.25	4.0941500	578.000
211.14	4.1732400	575.000
211.81	4.1928500	549.000
212.03	4.1990600	568.000
214.33	4.2529800	576.000
214.47	4.2558900	563.000
215.98	4.3114600	570.000
217.09	4.3648600	582.000
220.38	4.4780400	577.000
220.52	4.4814500	568.000
221.11	4.4961800	579.000
222.25	4.5646000	584.000
222.48	4.5784100	570.000
224.23	4.6376400	570.000
224.78	4.6442900	568.000
225.12	4.6458300	582.000
225.23	4.6463300	562.000
225.94	4.6495400	580.000
227.60	4.7439000	560.000
228.74	4.7979000	580.000
229.76	4.8422300	560.000
231.40	4.9026800	563.000
231.99	4.9194900	560.000
233.09	4.9561000	570.000
233.48	4.9718700	563.000
235.23	5.0506600	579.000
235.78	5.0776400	570.000
236.13	5.0862600	573.000
236.23	5.0864200	568.000
240.15	5.2120400	561.000
241.85	5.2874600	563.000
242.88	5.3206200	551.000
244.09	5.3485700	553.000
244.48	5.3545800	558.000
246.29	5.4117800	574.000
247.76	5.5278500	561.000
247.86	5.5299400	564.000
249.53	5.5628100	577.000
250.60	5.5794300	565.000
251.73	5.6564700	570.000
252.85	5.7304300	566.000
253.44	5.7551000	580.000
255.06	5.8389900	581.000
255.82	5.8444300	563.000
256.03	5.8797500	568.000
257.29	5.8865400	591.000
258.33	5.8915100	571.000
258.65	5.9108100	578.000
258.78	5.9186500	570.000
258.92	5.9270900	581.000
259.98	5.9723900	584.000
260.53	5.9945400	586.000
263.83	6.0619700	575.000
264.99	6.1121400	570.000
266.09	6.1712200	584.000
268.13	6.2905200	564.000
268.23	6.2952900	602.000
268.92	6.3281800	592.000
269.12	6.3323600	597.000
269.23	6.3341300	581.000
269.94	6.3456100	597.000
271.63	6.3852300	590.000
275.71	6.5562700	590.000
275.83	6.5616100	577.000
276.09	6.5731800	583.000
277.03	6.6150100	592.000
277.82	6.6573300	577.000
278.03	6.6691000	580.000
278.13	6.6747000	581.000
279.23	6.7276000	587.000
279.78	6.7457600	588.000
