/* DATA DESCRIPTION:
Citation:	Gkinis, Vasileios; Dahl-Jensen, Dorthe; Steffensen, Jørgen Peder; Vinther, Bo Møllesøe; Landais, Amaëlle; Jouzel, Jean; Masson-Delmotte, Valerie; Cattani, Olivier; Minster, Bénédicte; Grisart, Antoine; Hörhold, Maria; Stenni, Barbara; Selmo, Enricomaria (2021): Oxygen-18 isotope ratios from the EPICA Dome C ice core at 11 cm resolution [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.939445
Abstract:	Abstract: We present here a high resolution (0.11 m) dataset of the isotopic composition of the ice (δ¹⁸O) from the EPICA Dome-C ice core. The dataset covers the depth range 7.81-3189.89 m (0.05-802.427 ka). Analysis is performed in Copenhagen with a CO~2~ equilibration Mass Spectrometry system (Finnegan MAT 251). Samples of 5 ml are equilibrated with CO~2~ for 6 hours under vibrations, thereafter injected to the mass spectrometer where the ¹⁸O/¹⁶O ratio is obtained on masses 46 and 44. All measurements reported on the SMOW-SLAP scale using a 2-point linear calibration (standards used: Crete: -33.61 ‰ and DC02: -54.11 ‰ . The combined uncertainty of the record is 0.07 ‰. We interpolate the dataset on the AICC2012 chronology.
Keyword(s):	Antarctica; d18O; Dome C; EPICA; ice cores; Isotope ratio; mass spectrometry; water isotopes
Related to:	Gkinis, Vasileios (2011): High resolution water isotope data from ice cores. Zenodo, https://doi.org/10.5281/zenodo.5653088
	Landais, Amaëlle; Masson-Delmotte, Valerie; Stenni, Barbara; Selmo, Enricomaria; Roche, D M; Jouzel, Jean; Lambert, Fabrice; Guillevic, Myriam; Bazin, Lucie; Arzel, O; Vinther, Bo Møllesøe; Gkinis, Vasileios; Popp, Trevor (2015): A review of the bipolar see–saw from synchronized and high resolution ice core water stable isotope records from Greenland and East Antarctica. Quaternary Science Reviews, 114, 18-32, https://doi.org/10.1016/j.quascirev.2015.01.031
Further details:	Seierstad, Inger K; Johnsen, Sigfús Jóhann; Vinther, Bo Møllesøe; Olsen, Jesper (2005): The duration of the Bølling-Allerød period (Greenland Interstadial 1) in the GRIP ice core. Annals of Glaciology, 42, 337-344, https://doi.org/10.3189/172756405781812556
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, sediment/rock: 7.755 m * MAXIMUM DEPTH, sediment/rock: 3189.835 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	The record is not continuous and presents 14 gaps in the following depth ranges:
	1. 120.01 - 120.67 (7 samples)
	2. 234.41 - 234.85 (5 samples)
	3. 288.86 - 290.40 (15 samples)
	4. 656.81 - 659.45 (28 samples)
	5. 1528.56 - 1539.45 (100 samples)
	6. 1583.56 - 1594.45 (100 samples)
	7. 1638.56 - 1649.45 (100 samples)
	8. 1693.56 - 1704.45 (100 samples)
	9. 1748.56 - 1759.45 (100 samples)
	10. 1803.56 - 1814.45 (100 samples)
	11. 2141.81 - 2144.45 (25 samples)
	12. 2238.06 - 2239.6 (15 samples)
	13. 2249.06 - 2317.7 (625 samples)
	14. 2756.16 - 2794.55 (350 samples)
Parameter(s):	Depth, top/min [m] (Depth top) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558)
	Depth, bottom/max [m] (Depth bot) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558)
	Age, dated [ka] (Age dated) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	δ18O [‰] (δ18O) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	114049 data points
*/
Depth top [m]	Depth bot [m]	Depth sed [m]	Age dated [ka]	δ18O [‰]
7.70	7.81	7.755	0.05012	-47.26
7.81	7.92	7.865	0.05185	-46.24
7.92	8.03	7.975	0.05358	-49.65
8.03	8.14	8.085	0.05532	-49.99
8.14	8.25	8.195	0.05705	-49.04
8.25	8.36	8.305	0.05892	-50.10
8.36	8.47	8.415	0.06078	-50.11
8.47	8.58	8.525	0.06265	-50.05
8.58	8.69	8.635	0.06451	-49.83
8.69	8.80	8.745	0.06638	-50.21
8.80	8.91	8.855	0.06825	-50.19
8.91	9.02	8.965	0.07011	-51.07
9.02	9.13	9.075	0.07198	-52.08
9.13	9.24	9.185	0.07384	-51.27
9.24	9.35	9.295	0.07571	-48.21
9.35	9.46	9.405	0.07758	-49.25
9.46	9.57	9.515	0.07944	-52.68
9.57	9.68	9.625	0.08131	-51.11
9.68	9.79	9.735	0.08317	-49.26
9.79	9.90	9.845	0.08504	-49.99
9.90	10.01	9.955	0.08700	-49.96
10.01	10.12	10.065	0.08897	-50.56
10.12	10.23	10.175	0.09093	-50.82
10.23	10.34	10.285	0.09290	-49.77
10.34	10.45	10.395	0.09486	-49.67
10.45	10.56	10.505	0.09683	-51.04
10.56	10.67	10.615	0.09879	-48.59
10.67	10.78	10.725	0.10076	-50.07
10.78	10.89	10.835	0.10272	-52.06
10.89	11.00	10.945	0.10469	-52.72
11.00	11.11	11.055	0.10665	-52.52
11.11	11.22	11.165	0.10862	-48.85
11.22	11.33	11.275	0.11058	-48.89
11.33	11.44	11.385	0.11255	-48.46
11.44	11.55	11.495	0.11451	-49.39
11.55	11.66	11.605	0.11654	-50.99
11.66	11.77	11.715	0.11858	-51.51
11.77	11.88	11.825	0.12061	-51.24
11.88	11.99	11.935	0.12264	-50.47
11.99	12.10	12.045	0.12467	-51.67
12.10	12.21	12.155	0.12671	-51.56
12.21	12.32	12.265	0.12874	-52.15
12.32	12.43	12.375	0.13077	-52.27
12.43	12.54	12.485	0.13280	-50.25
12.54	12.65	12.595	0.13484	-49.54
12.65	12.76	12.705	0.13687	-50.18
12.76	12.87	12.815	0.13890	-50.14
12.87	12.98	12.925	0.14093	-50.13
12.98	13.09	13.035	0.14297	-49.30
13.09	13.20	13.145	0.14500	-50.72
13.20	13.31	13.255	0.14709	-50.11
13.31	13.42	13.365	0.14918	-49.60
13.42	13.53	13.475	0.15127	-51.39
13.53	13.64	13.585	0.15335	-50.20
13.64	13.75	13.695	0.15544	-51.22
13.75	13.86	13.805	0.15753	-50.72
13.86	13.97	13.915	0.15962	-48.93
13.97	14.08	14.025	0.16171	-47.73
14.08	14.19	14.135	0.16380	-50.08
14.19	14.30	14.245	0.16589	-50.40
14.30	14.41	14.355	0.16798	-49.99
14.41	14.52	14.465	0.17006	-50.89
14.52	14.63	14.575	0.17215	-52.30
14.63	14.74	14.685	0.17424	-51.81
14.74	14.85	14.795	0.17633	-48.76
14.85	14.96	14.905	0.17841	-50.59
14.96	15.07	15.015	0.18049	-50.57
15.07	15.18	15.125	0.18257	-50.34
15.18	15.29	15.235	0.18465	-50.72
15.29	15.40	15.345	0.18673	-53.42
15.40	15.51	15.455	0.18881	-51.95
15.51	15.62	15.565	0.19089	-51.40
15.62	15.73	15.675	0.19298	-50.89
15.73	15.84	15.785	0.19506	-51.52
15.84	15.95	15.895	0.19714	-50.52
15.95	16.06	16.005	0.19922	-49.72
16.06	16.17	16.115	0.20130	-50.19
16.17	16.28	16.225	0.20338	-50.07
16.28	16.39	16.335	0.20546	-50.79
16.39	16.50	16.445	0.20754	-50.89
16.50	16.61	16.555	0.20970	-50.58
16.61	16.72	16.665	0.21187	-51.12
16.72	16.83	16.775	0.21403	-51.49
16.83	16.94	16.885	0.21619	-53.17
16.94	17.05	16.995	0.21835	-53.61
17.05	17.16	17.105	0.22052	-50.34
17.16	17.27	17.215	0.22268	-49.31
17.27	17.38	17.325	0.22484	-49.48
17.38	17.49	17.435	0.22700	-50.04
17.49	17.60	17.545	0.22917	-50.47
17.60	17.71	17.655	0.23133	-49.50
17.71	17.82	17.765	0.23349	-49.15
17.82	17.93	17.875	0.23565	-49.86
17.93	18.04	17.985	0.23782	-50.57
18.04	18.15	18.095	0.23998	-49.55
18.15	18.26	18.205	0.24226	-49.41
18.26	18.37	18.315	0.24454	-48.05
18.37	18.48	18.425	0.24682	-47.55
18.48	18.59	18.535	0.24911	-51.05
18.59	18.70	18.645	0.25139	-51.82
18.70	18.81	18.755	0.25367	-51.54
18.81	18.92	18.865	0.25595	-50.40
18.92	19.03	18.975	0.25823	-50.30
19.03	19.14	19.085	0.26051	-50.25
19.14	19.25	19.195	0.26279	-50.37
19.25	19.36	19.305	0.26507	-50.21
19.36	19.47	19.415	0.26736	-50.03
19.47	19.58	19.525	0.26964	-50.22
19.58	19.69	19.635	0.27192	-51.04
19.69	19.80	19.745	0.27420	-50.23
19.80	19.91	19.855	0.27659	-51.18
19.91	20.02	19.965	0.27899	-52.46
20.02	20.13	20.075	0.28138	-51.35
20.13	20.24	20.185	0.28377	-50.12
20.24	20.35	20.295	0.28616	-51.62
20.35	20.46	20.405	0.28856	-51.67
20.46	20.57	20.515	0.29095	-49.80
20.57	20.68	20.625	0.29334	-51.23
20.68	20.79	20.735	0.29573	-52.75
20.79	20.90	20.845	0.29813	-50.21
20.90	21.01	20.955	0.30052	-49.11
21.01	21.12	21.065	0.30291	-49.86
21.12	21.23	21.175	0.30530	-50.71
21.23	21.34	21.285	0.30770	-51.33
21.34	21.45	21.395	0.31009	-52.31
21.45	21.56	21.505	0.31253	-52.58
21.56	21.67	21.615	0.31496	-51.65
21.67	21.78	21.725	0.31740	-50.45
