age,percentage
97400.0,82.04
97300.0,82.04
97200.0,82.04
97100.0,82.04
97000.0,82.04
96900.0,82.04
96800.0,82.04
96700.0,82.04
96600.0,82.04
96500.0,82.04
96400.0,82.04
96300.0,82.04
96200.0,82.08
96100.0,82.28
96000.0,83.28
95900.0,84.08
95800.0,84.08
95700.0,85.08
95600.0,86.08
95500.0,87.08
95400.0,88.08
95300.0,89.08
95200.0,90.08
95100.0,91.08000000000001
95000.0,92.08
94900.0,93.08
94800.0,94.08
94700.0,95.08
94600.0,96.08
94500.0,97.08
94400.0,97.6
94300.0,97.6
94200.0,97.6
94100.0,97.6
94000.0,97.6
93900.0,97.6
93800.0,97.6
93700.0,97.6
93600.0,97.6
93500.0,97.6
93400.0,97.6
93300.0,97.6
93200.0,97.6
93100.0,97.6
93000.0,97.6
92900.0,97.6
92800.0,97.6
92700.0,97.6
92600.0,97.6
92500.0,97.6
92400.0,97.6
92300.0,97.6
92200.0,97.6
92100.0,97.6
92000.0,97.6
91900.0,97.6
91800.0,97.6
91700.0,97.6
91600.0,97.6
91500.0,96.6
91400.0,95.6
91300.0,95.19999999999999
91200.0,95.19999999999999
91100.0,95.19999999999999
91000.0,95.19999999999999
90900.0,95.19999999999999
90800.0,95.19999999999999
90700.0,95.19999999999999
90600.0,95.19999999999999
90500.0,94.8
90400.0,93.8
90300.0,92.80000000000001
90200.0,92.2
90100.0,92.2
90000.0,92.2
89900.0,92.2
89800.0,92.2
89700.0,92.2
89600.0,92.2
89500.0,92.2
89400.0,92.2
89300.0,92.2
89200.0,92.2
89100.0,92.2
89000.0,92.2
88900.0,92.2
88800.0,92.2
88700.0,92.2
88600.0,92.2
88500.0,91.8
88400.0,90.8
88300.0,89.8
88200.0,89.8
88100.0,89.8
88000.0,89.8
87900.0,89.8
87800.0,89.8
87700.0,89.8
87600.0,89.8
87500.0,89.8
87400.0,89.8
87300.0,89.8
87200.0,89.8
87100.0,89.8
87000.0,88.8
86900.0,87.8
86800.0,86.8
86700.0,85.8
86600.0,85.2
86500.0,85.2
86400.0,85.2
86300.0,85.2
86200.0,85.6
86100.0,86.4
86000.0,86.4
85900.0,86.6
85800.0,87.6
85700.0,86.8
85600.0,85.8
85500.0,84.8
85400.0,83.8
85300.0,83.8
85200.0,83.8
85100.0,83.8
85000.0,83.8
84900.0,83.8
84800.0,83.8
84700.0,83.8
84600.0,83.8
84500.0,83.8
84400.0,83.8
84300.0,82.8
84200.0,81.8
84100.0,80.80000000000001
84000.0,79.80000000000001
83900.0,78.8
83800.0,77.8
83700.0,76.8
83600.0,76.4
83500.0,76.4
83400.0,76.4
83300.0,76.4
83200.0,76.4
83100.0,76.4
83000.0,76.4
82900.0,76.4
82800.0,76.4
82700.0,76.4
82600.0,76.4
82500.0,75.8
82400.0,74.8
82300.0,73.8
82200.0,72.8
82100.0,71.8
82000.0,70.8
81900.0,69.8
81800.0,68.8
81700.0,67.80000000000001
81600.0,66.8
81500.0,66.8
81400.0,66.8
81300.0,66.2
81200.0,65.2
81100.0,64.2
81000.0,63.2
80900.0,62.4
80800.0,62.4
80700.0,62.4
80600.0,62.4
80500.0,62.8
80400.0,63.800000000000004
80300.0,64.8
80200.0,65.4
80100.0,65.4
80000.0,65.4
79900.0,65.4
79800.0,65.4
79700.0,65.4
79600.0,65.4
79500.0,65.4
79400.0,65.4
79300.0,65.4
79200.0,65.0
79100.0,64.0
79000.0,63.0
78900.0,62.8
78800.0,62.8
78700.0,62.8
78600.0,62.8
78500.0,63.2
78400.0,64.2
78300.0,64.8
78200.0,63.800000000000004
78100.0,62.8
78000.0,61.8
77900.0,60.8
77800.0,59.8
77700.0,58.8
77600.0,58.599999999999994
77500.0,58.599999999999994
77400.0,58.599999999999994
77300.0,58.599999999999994
77200.0,58.599999999999994
77100.0,58.599999999999994
77000.0,59.599999999999994
76900.0,60.6
76800.0,60.6
76700.0,60.6
76600.0,60.199999999999996
76500.0,59.199999999999996
76400.0,58.199999999999996
76300.0,57.199999999999996
76200.0,56.2
76100.0,55.2
76000.0,54.2
75900.0,53.2
75800.0,52.2
75700.0,53.0
75600.0,54.0
75500.0,55.00000000000001
75400.0,56.00000000000001
75300.0,56.00000000000001
75200.0,56.00000000000001
75100.0,56.00000000000001
75000.0,56.00000000000001
74900.0,56.00000000000001
74800.0,55.400000000000006
74700.0,54.400000000000006
74600.0,53.400000000000006
74500.0,52.400000000000006
74400.0,51.4
74300.0,51.4
74200.0,51.4
74100.0,51.4
74000.0,51.4
73900.0,51.4
73800.0,51.4
73700.0,51.4
73600.0,50.8
73500.0,49.8
73400.0,48.8
73300.0,47.8
73200.0,46.800000000000004
73100.0,45.800000000000004
73000.0,44.800000000000004
72900.0,43.8
72800.0,42.8
72700.0,41.8
72600.0,40.8
72500.0,40.400000000000006
72400.0,40.400000000000006
72300.0,40.400000000000006
72200.0,41.199999999999996
72100.0,42.199999999999996
72000.0,43.2
71900.0,44.2
71800.0,45.2
71700.0,46.2
71600.0,47.199999999999996
71500.0,48.199999999999996
71400.0,49.2
71300.0,50.2
71200.0,51.2
71100.0,52.2
71000.0,53.2
70900.0,54.0
70800.0,54.0
70700.0,53.0
70600.0,52.0
70500.0,51.0
70400.0,50.0
70300.0,49.0
70200.0,48.0
70100.0,47.0
70000.0,46.0
69900.0,45.0
69800.0,44.6
69700.0,44.6
69600.0,44.6
69500.0,44.2
69400.0,43.2
69300.0,42.199999999999996
69200.0,41.6
69100.0,41.6
69000.0,41.6
68900.0,40.8
68800.0,39.800000000000004
68700.0,38.800000000000004
68600.0,37.8
68500.0,36.8
68400.0,35.8
68300.0,35.199999999999996
68200.0,35.199999999999996
68100.0,35.199999999999996
68000.0,35.199999999999996
67900.0,35.199999999999996
67800.0,35.199999999999996
67700.0,35.199999999999996
67600.0,34.4
67500.0,33.4
67400.0,32.4
67300.0,31.4
67200.0,30.4
67100.0,29.4
67000.0,28.4
66900.0,27.400000000000002
66800.0,27.400000000000002
66700.0,27.400000000000002
66600.0,27.400000000000002
66500.0,27.400000000000002
66400.0,27.400000000000002
66300.0,27.400000000000002
66200.0,27.400000000000002
66100.0,27.400000000000002
66000.0,27.400000000000002
65900.0,27.400000000000002
65800.0,27.400000000000002
65700.0,26.400000000000002
65600.0,25.4
65500.0,24.4
65400.0,23.400000000000002
65300.0,22.400000000000002
65200.0,21.4
65100.0,20.4
65000.0,19.400000000000002
64900.0,18.6
64800.0,19.2
64700.0,20.200000000000003
64600.0,21.2
64500.0,22.2
64400.0,23.200000000000003
64300.0,24.2
64200.0,24.8
64100.0,25.2
64000.0,26.200000000000003
63900.0,27.200000000000003
63800.0,28.199999999999996
63700.0,28.799999999999997
63600.0,28.799999999999997
63500.0,28.799999999999997
63400.0,28.799999999999997
63300.0,29.2
63200.0,30.2
63100.0,31.2
63000.0,32.2
62900.0,33.2
62800.0,34.2
62700.0,35.199999999999996
62600.0,35.8
62500.0,35.8
62400.0,35.8
62300.0,35.8
62200.0,35.0
62100.0,34.0
62000.0,33.0
61900.0,32.0
61800.0,31.0
61700.0,30.0
61600.0,28.999999999999996
61500.0,28.000000000000004
61400.0,27.0
61300.0,26.0
61200.0,25.0
61100.0,24.0
61000.0,24.0
60900.0,23.200000000000003
60800.0,22.8
60700.0,23.799999999999997
60600.0,24.8
60500.0,25.0
60400.0,25.0
60300.0,25.0
60200.0,25.0
60100.0,25.0
60000.0,25.6
59900.0,26.6
59800.0,26.6
59700.0,25.6
59600.0,25.6
59500.0,26.0
59400.0,27.0
59300.0,28.000000000000004
59200.0,28.999999999999996
59100.0,30.0
59000.0,31.0
58900.0,32.0
58800.0,33.0
58700.0,34.0
58600.0,35.0
58500.0,36.0
58400.0,37.0
58300.0,38.0
58200.0,39.0
58100.0,40.0
58000.0,41.0
57900.0,42.0
57800.0,43.0
57700.0,44.0
57600.0,45.0
57500.0,46.0
57400.0,47.0
57300.0,48.0
57200.0,49.0
57100.0,50.0
57000.0,51.0
56900.0,52.0
56800.0,53.0
56700.0,54.0
56600.0,55.00000000000001
56500.0,56.00000000000001
56400.0,56.99999999999999
56300.0,57.99999999999999
56200.0,59.0
56100.0,60.0
56000.0,61.0
55900.0,62.0
55800.0,63.0
55700.0,64.0
55600.0,65.0
55500.0,66.0
55400.0,67.0
55300.0,68.0
55200.0,68.0
55100.0,68.0
55000.0,68.4
54900.0,69.19999999999999
54800.0,69.19999999999999
54700.0,69.19999999999999
54600.0,69.19999999999999
54500.0,69.19999999999999
54400.0,69.19999999999999
54300.0,69.19999999999999
54200.0,69.6
54100.0,70.19999999999999
54000.0,70.19999999999999
53900.0,70.19999999999999
53800.0,70.19999999999999
53700.0,70.6
53600.0,71.6
53500.0,72.6
53400.0,73.6
53300.0,74.2
53200.0,74.2
53100.0,74.2
53000.0,74.2
52900.0,74.2
52800.0,74.2
52700.0,74.2
52600.0,74.6
52500.0,75.6
52400.0,76.6
52300.0,77.60000000000001
52200.0,78.60000000000001
52100.0,79.60000000000001
52000.0,80.60000000000001
51900.0,81.6
51800.0,82.6
51700.0,83.6
51600.0,84.6
51500.0,85.6
51400.0,86.6
51300.0,87.6
51200.0,88.6
51100.0,89.60000000000001
51000.0,89.60000000000001
50900.0,90.4
50800.0,90.8
50700.0,90.8
50600.0,90.8
50500.0,91.60000000000001
50400.0,92.60000000000001
50300.0,93.60000000000001
50200.0,94.6
50100.0,95.6
50000.0,96.0
49900.0,96.0
49800.0,96.39999999999999
49700.0,97.0
49600.0,96.0
49500.0,95.19999999999999
49400.0,95.19999999999999
49300.0,95.19999999999999
49200.0,95.19999999999999
49100.0,95.19999999999999
49000.0,95.19999999999999
48900.0,95.19999999999999
48800.0,95.19999999999999
48700.0,94.6
48600.0,93.60000000000001
48500.0,92.60000000000001
48400.0,91.60000000000001
48300.0,90.60000000000001
48200.0,89.60000000000001
48100.0,88.6
48000.0,87.6
47900.0,86.6
47800.0,85.6
47700.0,84.6
47600.0,83.6
47500.0,82.6
47400.0,81.6
47300.0,80.60000000000001
47200.0,79.60000000000001
47100.0,78.60000000000001
47000.0,77.60000000000001
46900.0,76.6
46800.0,75.6
46700.0,75.6
46600.0,75.6
46500.0,75.6
46400.0,75.6
46300.0,75.6
46200.0,75.6
46100.0,75.6
46000.0,75.6
45900.0,75.6
45800.0,75.6
45700.0,75.6
45600.0,75.6
45500.0,75.6
45400.0,75.6
45300.0,75.6
45200.0,76.6
45100.0,77.60000000000001
45000.0,77.8
44900.0,76.8
44800.0,75.8
44700.0,74.8
44600.0,73.8
44500.0,72.8
44400.0,71.8
44300.0,70.8
44200.0,69.8
44100.0,68.8
44000.0,67.80000000000001
43900.0,66.8
43800.0,65.8
43700.0,64.8
43600.0,63.800000000000004
43500.0,62.8
43400.0,61.8
43300.0,60.8
43200.0,59.8
43100.0,58.8
43000.0,57.8
42900.0,56.8
42800.0,55.800000000000004
42700.0,54.800000000000004
42600.0,54.800000000000004
42500.0,54.800000000000004
42400.0,54.800000000000004
42300.0,54.800000000000004
42200.0,54.800000000000004
42100.0,54.800000000000004
42000.0,54.800000000000004
41900.0,54.800000000000004
41800.0,54.800000000000004
41700.0,54.800000000000004
41600.0,54.800000000000004
41500.0,54.800000000000004
41400.0,54.800000000000004
41300.0,54.0
41200.0,53.0
41100.0,52.0
41000.0,51.0
40900.0,50.0
40800.0,49.0
40700.0,48.0
40600.0,47.0
40500.0,46.0
40400.0,45.0
40300.0,44.0
40200.0,43.0
40100.0,42.0
40000.0,41.0
39900.0,40.0
39800.0,39.0
39700.0,38.4
39600.0,38.4
39500.0,38.2
39400.0,37.2
39300.0,36.199999999999996
39200.0,35.199999999999996
39100.0,34.2
39000.0,33.2
38900.0,32.2
38800.0,31.2
38700.0,30.8
38600.0,30.8
38500.0,30.8
38400.0,30.8
38300.0,30.8
38200.0,30.8
38100.0,30.8
38000.0,30.8
37900.0,30.8
37800.0,30.8
37700.0,30.8
37600.0,30.8
37500.0,30.8
37400.0,30.8
37300.0,30.8
37200.0,30.8
37100.0,30.8
37000.0,30.8
36900.0,30.8
36800.0,30.8
36700.0,29.799999999999997
36600.0,28.799999999999997
36500.0,27.800000000000004
36400.0,26.8
36300.0,25.8
36200.0,24.8
36100.0,23.799999999999997
36000.0,22.8
35900.0,21.8
35800.0,20.8
35700.0,19.8
35600.0,18.8
35500.0,17.8
35400.0,16.8
35300.0,15.8
35200.0,14.799999999999999
35100.0,13.8
35000.0,13.200000000000001
34900.0,13.200000000000001
34800.0,13.200000000000001
34700.0,13.200000000000001
34600.0,13.200000000000001
34500.0,13.200000000000001
34400.0,13.200000000000001
34300.0,14.000000000000002
34200.0,15.0
34100.0,15.2
34000.0,16.0
33900.0,17.0
33800.0,18.0
33700.0,19.0
33600.0,20.0
33500.0,21.0
33400.0,22.0
33300.0,23.0
33200.0,24.0
33100.0,25.0
33000.0,26.0
32900.0,27.0
32800.0,28.000000000000004
32700.0,28.999999999999996
32600.0,28.999999999999996
32500.0,28.999999999999996
32400.0,28.999999999999996
32300.0,28.999999999999996
